1,"BISHUIGE Women Summer Casual T Shirt Dresses Beach Cover up Plain Pleated Tank Dress",Clothing,21.99,15.00
2,"KORSIS Women's Summer Casual T Shirt Dresses Short Sleeve Swing Dress with Pockets",Clothing,22.89,5.00
3,"FACE N FACE Women's Knitting Sexy Casual Long Sleeve Short Dress",Clothing,15.99,24.00
4,"BELONGSCI Women's Dress Sweet & Cute V-Neck Bell Sleeve Shift Dress Mini Dress",Clothing,26.99,20.00
14,"HOMEYEE Women's Sleeveless Cocktail A-Line Embroidery Party Summer Wedding Guest Dress",Clothing,35.99,16.00
15,"EdiorsÂ® 100w Loud 12v Car Horn Siren Kit Pa System 7 Tone Police Fire Fighter Car Speaker",Electronics,69.99,10.00
16,"LG 55SE3D-B Digital Signage Flat Panel 55" LED Full HD",Electronics,720.95,5.00
17,"Speakers for Se3B/Sm5B",Electronics,89.69,8.00
18,"Brightness LED Video Projector,Movie Projectors,Remote Control,1080P HD LED HDMI Mini ",Electronics,19.89,25.00
19,"LG 15Z980-A.AP71U1 Gram 15Z980-A 15.6" Touchscreen LCD Notebook",Electronics,1768.99,10.00
